Cluster ID,confidence_score,Id,ln,dob,gn,fn,canonical_ln,canonical_dob,canonical_Id,canonical_fn,canonical_gn
21,0.951762557,71,MELVIN JR,07-10-37,M,HAROLD,melvin jr,07-10-37,70,harold,m
21,0.951762557,72,MELVIN JR,07-10-37,M,HAROLD,melvin jr,07-10-37,70,harold,m
21,0.951762557,73,MELVIN JR,07-10-37,M,HAROLD,melvin jr,07-10-37,70,harold,m
21,0.951762557,74,MELVIN JR,07-10-37,M,HAROLD,melvin jr,07-10-37,70,harold,m
22,0.951762557,75,CHAVAS JR,07-10-37,M,HAROLD,chavas jr,07-10-37,75,harold,m
22,0.951762557,76,CHAVAS JR,07-10-37,M,HAROLD,chavas jr,07-10-37,75,harold,m
22,0.951762557,77,CHAVAS JR,07-10-37,M,HAROLD,chavas jr,07-10-37,75,harold,m
22,0.951762557,78,CHAVAS JR,07-10-37,M,HAROLD,chavas jr,07-10-37,75,harold,m
22,0.951762557,82,CHAVAS JR,07-10-37,M,HAROLD,chavas jr,07-10-37,75,harold,m
22,0.951762557,83,CHAVAS JR,07-10-37,M,HAROLD,chavas jr,07-10-37,75,harold,m
23,0.951763,79,MICHAELSON JR,07-10-37,M,HAROLD,michaelson jr,07-10-37,79,harold,m
23,0.951763,80,MICHAELSON JR,07-10-37,M,HAROLD,michaelson jr,07-10-37,79,harold,m
24,0.951762557,84,FAGEN JR,07-10-37,M,HAROLD,fagen jr,07-10-37,84,harold,m
24,0.951762557,85,FAGEN JR,07-10-37,M,HAROLD,fagen jr,07-10-37,84,harold,m
25,0.951762557,90,GRIFFIN JR,07-05-37,M,CLIFFORD,griffin jr,07-05-37,90,clifford,m
25,0.951762557,91,GRIFFIN JR,07-05-37,M,CLIFFORD,griffin jr,07-05-37,90,clifford,m
25,0.951762557,92,GRIFFIN JR,07-05-37,M,CLIFFORD,griffin jr,07-05-37,90,clifford,m
26,0.944286257,94,HANNA,24-11-34,M,ADDISON J,hanna,24-11-34,94,addison,m
26,0.942297265,95,HANNA,24-11-34,M,ADDISON JOHN,hanna,24-11-34,94,addison,m
26,0.947264239,96,HANNA,24-11-34,M,ADDISON,hanna,24-11-34,94,addison,m
26,0.947264239,97,HANNA,24-11-34,M,ADDISON,hanna,24-11-34,94,addison,m
26,0.947264239,98,HANNA,24-11-34,M,ADDISON,hanna,24-11-34,94,addison,m
27,0.92745015,100,FUNARO JONES,06-12-37,F,HARRIET,funaro j,06-12-37,100,harriet,f
27,0.931984007,101,FUNARO J,06-12-37,F,HARRIET,funaro j,06-12-37,100,harriet,f
27,0.927008539,102,FUNARO,06-12-37,F,HARRIET,funaro j,06-12-37,100,harriet,f
28,0.923660982,103,Frometa Garo,03-02-95,M,Vladimir Antonio,frometa g,03-02-95,103,vladimir a,m
28,0.930647039,104,Frometa Garo,03-02-95,M,Vladimir A,frometa g,03-02-95,103,vladimir a,m
28,0.92691443,105,Frometa,03-02-95,M,Vladimir,frometa g,03-02-95,103,vladimir a,m
28,0.930853856,106,Frometa G,03-02-95,M,Vladimir,frometa g,03-02-95,103,vladimir a,m
28,0.929713464,107,Frometa,03-02-95,M,Vladimir A,frometa g,03-02-95,103,vladimir a,m
28,0.933352399,108,Frometa G,03-02-95,M,Vladimir A,frometa g,03-02-95,103,vladimir a,m
29,,0,SMITH JR,01-03-68,F,WILLIAM,,,,,
30,,1,ROTHMEYER JR,01-03-68,F,WILLIAM,,,,,
31,,2,ASBY JR,01-03-68,F,WILLIAM,,,,,
32,,10,BLAND III,21-02-62,F,WILLIAM,,,,,
33,,18,SHAFFER JR,25-10-53,F,WILLIAM,,,,,
34,,27,MICHAELSON JR,01-05-51,M,ROY,,,,,
35,,32,MICHAELSON JR,09-04-47,M,BOB,,,,,
36,,42,LIND JR,20-01-46,M,JOHN,,,,,
37,,43,CAIN JR,20-01-46,M,JOHN,,,,,
38,,44,CLARK,09-06-45,M,JOHN,,,,,
39,,61,MICHAELSON JR,09-06-39,M,JACK,,,,,
40,,64,MUSTAPHA JR,07-10-37,M,HAROLD,,,,,
41,,65,HOUGHTON JR,07-10-37,M,HAROLD,,,,,
42,,81,SMITH JR,07-10-37,M,HAROLD,,,,,
43,,86,FAGEN JR,07-10-37,M,GEORGE,,,,,
44,,87,GRIFFIN JR,07-10-37,M,DARH,,,,,
45,,88,GRIFFIN JR,10-07-37,M,DARL,,,,,
46,,89,GRIFFIN JR,07-05-37,M,DARL,,,,,
47,,93,GRIFFIN JR,07-05-37,M,CLARENCE,,,,,
48,,99,GALETICH JR,15-10-32,M,ADDISON,,,,,
